Wi-Fi Name,Wi-Fi Type,Location Description,Range in Metres,Install Date,Install Type,Column Number,Road,Easting,Northing,Longitude,Latitude,Location,Range,Last Uploaded
Public Wi-Fi on Lighting Column 17 TOTTENHAM COURT ROAD,Public Wi-Fi,AT J/W CHENIES ST,30,28/07/2014,Lighting Column,17,TOTTENHAM COURT ROAD,529567.84,181802.41,-0.133889,51.52029,POINT (-0.133889846466 51.520289339375),"POLYGON ((-0.133457630118 51.520289255317, -0.1334905826 51.520186073869, -0.133584318995 51.520098613719, -0.133724568624 51.520040189759, -0.133889979915 51.520019696388, -0.13405537089 51.520040253485, -0.134195562664 51.520098731468, -0.134289212471 51.520186227717, -0.134322062815 51.520289421841, -0.134289112138 51.52039260352, -0.134195376489 51.52048006423, -0.134055126111 51.520538488748, -0.133889713015 51.52055898235, -0.133724320235 51.520538425021, -0.133584127715 51.520479946479, -0.133490478657 51.520392449672, -0.133457630118 51.520289255317))",29/10/2018 02:53:47 PM
Public Wi-Fi on Lighting Column 23 CHALK FARM ROAD,Public Wi-Fi,S/O NO. 60,30,24/10/2014,Lighting Column,23,CHALK FARM ROAD,528379.35,184321.4,-0.150092,51.543199,POINT (-0.150092409215 51.543198457761),"POLYGON ((-0.149659975842 51.543198433403, -0.149692908237 51.543095247811, -0.149786660641 51.543007775058, -0.149926959941 51.542949331957, -0.150092447001 51.542928815819, -0.150257928308 51.54294934999, -0.150398211226 51.543007808378, -0.150491939114 51.543095291346, -0.150524842588 51.543198480526, -0.150491912 51.54330166635, -0.150398160344 51.543389139662, -0.150257860295 51.543447583322, -0.150092371428 51.543468099691, -0.149926888313 51.543447565289, -0.149786604648 51.543389106341, -0.149692877509 51.543301622814, -0.149659975842 51.543198433403))",29/10/2018 02:53:47 PM
Public Wi-Fi on CCTV Column  POND STREET,Public Wi-Fi,"J/W FLEET ROAD, SOUTH SIDE",30,19/12/2014,CCTV Column,,POND STREET,527313.32,185509.17,-0.165027,51.554115,POINT (-0.16502709503 51.554114082942),"POLYGON ((-0.164594558167 51.554114113622, -0.164627464656 51.554010924034, -0.164721210854 51.553923439514, -0.164861524591 51.553864978667, -0.165027044534 51.553844441505, -0.165192572165 51.553864954576, -0.165332907793 51.553923394999, -0.165426686755 51.554010865872, -0.165459631892 51.554114050668, -0.165426727212 51.554217240488, -0.165332981763 51.554304725567, -0.165192667278 51.554363186973, -0.165027145526 51.554383724367, -0.164861616087 51.554363211065, -0.164721279709 51.554304770083, -0.164627501495 51.554217298651, -0.164594558167 51.554114113622))",29/10/2018 02:53:47 PM
Shared Digital Guest at Holborn Library,Shared Digital Guest,"32-38 Theobalds Road, WC1X 8PA",10,22/12/2014,Library,,Theobalds Road,530840.01,181926.84,-0.115518,51.521115,POINT (-0.115518075323 51.521114625093),"POLYGON ((-0.115374000618 51.521114574685, -0.115384998617 51.521080182571, -0.115416256294 51.521051034025, -0.115463014934 51.521031566636, -0.115518155975 51.521024744123, -0.115573284738 51.521031605148, -0.115620008412 51.521051105187, -0.115651213758 51.521080275549, -0.115662150028 51.521114675324, -0.11565115223 51.521149067465, -0.115619894635 51.521178216073, -0.115573135912 51.521197683524, -0.11551799467 51.521204506062, -0.115462865707 51.521197645011, -0.11541614195 51.52117814491, -0.115384936687 51.521148974486, -0.115374000618 51.521114574685))",29/10/2018 02:53:47 PM
Public Wi-Fi on Lighting Column 22 CHALK FARM ROAD,Public Wi-Fi,O/S PH,30,24/10/2014,Lighting Column,22,CHALK FARM ROAD,528698.7,184162.6,-0.145547,51.541699,POINT (-0.145547845508 51.541698686106),"POLYGON ((-0.145115426354 51.541698645001, -0.145148367943 51.541595460658, -0.145242125978 51.541507991513, -0.145382426487 51.541449553831, -0.14554791015 51.541429044097, -0.145713383973 51.541449584682, -0.145853656456 51.541508048518, -0.145947372549 51.541595535138, -0.145980264664 51.541698725618, -0.145947324881 51.541801910193, -0.145853567594 51.541889379896, -0.145713266336 51.541947818137, -0.145547780866 51.541968328103, -0.145382305236 51.541947787286, -0.145242032005 51.541889322891, -0.145148316661 51.541801835712, -0.145115426354 51.541698645001))",29/10/2018 02:53:47 PM
Public Wi-Fi on Lighting Column 14 FORTESS ROAD,Public Wi-Fi,BY 99,30,24/10/2014,Lighting Column,14,FORTESS ROAD,529051.61,185644.27,-0.139918,51.554934,POINT (-0.139918551489 51.554933760159),"POLYGON ((-0.139486006861 51.554933698305, -0.139518970749 51.554830515777, -0.139612766789 51.55474305133, -0.139753115224 51.554684620513, -0.139918649439 51.554664118766, -0.140084168742 51.554684667244, -0.140224474711 51.554743137677, -0.140318207198 51.554830628595, -0.140351096117 51.554933820418, -0.140318134038 51.555037003178, -0.140224338745 51.555124468184, -0.14008398956 51.555182899561, -0.139918453537 51.555203401539, -0.139752932426 51.555182852829, -0.139612625709 51.555124381836, -0.139518893972 51.555036890359, -0.139486006861 51.554933698305))",29/10/2018 02:53:47 PM
Public Wi-Fi on Lighting Column 19 FORTESS ROAD,Public Wi-Fi,BY 138,30,19/12/2014,Lighting Column,19,FORTESS ROAD,529120.45,185777.97,-0.138877,51.55612,POINT (-0.138877090244 51.556119566126),"POLYGON ((-0.138444534371 51.556119500434, -0.138477501473 51.556016318219, -0.13857130195 51.555928854623, -0.138711655368 51.555870425063, -0.138877194355 51.555849924789, -0.139042717492 51.555870474732, -0.139183025775 51.555928946399, -0.1392767587 51.55601643813, -0.139309646118 51.556119630224, -0.139276680824 51.55622281267, -0.139182881095 51.556310276826, -0.139042526927 51.556368706945, -0.138876986131 51.556389207451, -0.138711461186 51.556368657276, -0.138571152156 51.55631018505, -0.13847741998 51.556222692759, -0.138444534371 51.556119500434))",29/10/2018 02:53:47 PM
Shared Digital Guest at Swiss Cottage Library,Shared Digital Guest,"88 Avenue Road, NW3 3HA",10,27/12/2014,Library,,Avenue Road,526774.46,184187.39,-0.173271,51.542357,POINT (-0.173271326251 51.542356476992),"POLYGON ((-0.173127184457 51.542356497523, -0.173138144044 51.542322100128, -0.173169379371 51.542292936306, -0.173216135125 51.542273445971, -0.173271293185 51.542266596336, -0.173326456278 51.54227343019, -0.173373226368 51.542292907147, -0.17340448315 51.542322062029, -0.173415468046 51.542356456285, -0.173404508659 51.542390853705, -0.173373273415 51.542420017589, -0.173326517578 51.542439507987, -0.173271359318 51.542446357648, -0.173216196024 51.542439523768, -0.173169425851 51.542420046749, -0.173138169152 51.542390891804, -0.173127184457 51.542356497523))",29/10/2018 02:53:47 PM
Public Wi-Fi on Lighting Column 12 SOUTH END ROAD,Public Wi-Fi,O/S NO 11,30,19/12/2014,Lighting Column,12,SOUTH END ROAD,527265.56,185543.03,-0.165703,51.55443,POINT (-0.165703364986 51.554429140138),"POLYGON ((-0.165270825136 51.55442917331, -0.165303730322 51.554325983537, -0.165397475871 51.554238498482, -0.16553778971 51.55418003683, -0.165703310492 51.554159498715, -0.16586883957 51.554180010831, -0.166009177035 51.554238450442, -0.166102957942 51.55432592077, -0.166135904836 51.554429105371, -0.166103001459 51.554532295375, -0.16600925666 51.554619780989, -0.165868942072 51.554678243201, -0.165703419482 51.554698781547, -0.165537888595 51.5546782692, -0.165397550381 51.55461982903, -0.165303770222 51.554532358143, -0.165270825136 51.55442917331))",29/10/2018 02:53:47 PM
Public Wi-Fi on Lighting Column 15 REGENT'S PARK ROAD,Public Wi-Fi,FRONT OF N 73,30,19/12/2014,Lighting Column,15,REGENT'S PARK ROAD,527881.4,184090.5,-0.157352,51.541237,POINT (-0.157352973618 51.541236286207),"POLYGON ((-0.156920558841 51.541236288605, -0.156953473398 51.541133100941, -0.157047207851 51.541045622358, -0.157187491816 51.540987170557, -0.157352968494 51.540966644172, -0.157518445952 51.540987168111, -0.157658732139 51.541045617839, -0.157752469916 51.541133095037, -0.157785388395 51.541236282215, -0.157752475645 51.541339470111, -0.15765874194 51.541426949253, -0.157518457227 51.541485401613, -0.157352978742 51.541505928229, -0.157187499477 51.541485404058, -0.157047212542 51.541426953771, -0.156953475513 51.541339476014, -0.156920558841 51.541236288605))",29/10/2018 02:53:47 PM
